	State	Action
196	((4, 7), 'sink')	0
197	((4, 7), ('1', '0'))	aT
198	((4, 7), ('0', '0'))	0
199	((4, 7), ('1', '1'))	aT
200	((5, 0), ('0', '1'))	aT
201	((5, 0), 'sink')	0
202	((5, 0), ('1', '0'))	aT
203	((5, 0), ('0', '0'))	3
204	((5, 0), ('1', '1'))	aT
205	((5, 1), ('0', '1'))	aT
206	((5, 1), 'sink')	0
207	((5, 1), ('1', '0'))	aT
208	((5, 1), ('0', '0'))	2
209	((5, 1), ('1', '1'))	aT
210	((5, 2), ('0', '1'))	aT
211	((5, 2), 'sink')	0
212	((5, 2), ('1', '0'))	aT
213	((5, 2), ('0', '0'))	1
214	((5, 2), ('1', '1'))	aT
215	((5, 3), ('0', '1'))	aT
216	((5, 3), 'sink')	0
217	((5, 3), ('1', '0'))	aT
218	((5, 3), ('0', '0'))	0
219	((5, 3), ('1', '1'))	aT
220	((5, 4), ('0', '1'))	aT
221	((5, 4), 'sink')	0
222	((5, 4), ('1', '0'))	aT
223	((5, 4), ('0', '0'))	3
224	((5, 4), ('1', '1'))	aT
225	((5, 5), ('0', '1'))	aT
226	((5, 5), 'sink')	0
227	((5, 5), ('1', '0'))	aT
228	((5, 5), ('0', '0'))	3
229	((5, 5), ('1', '1'))	aT
230	((5, 6), ('0', '1'))	aT
231	((5, 6), 'sink')	0
232	((5, 6), ('1', '0'))	aT
233	((5, 6), ('0', '0'))	2
234	((5, 6), ('1', '1'))	aT
235	((5, 7), ('0', '1'))	aT
236	((5, 7), 'sink')	0
237	((5, 7), ('1', '0'))	aT
238	((5, 7), ('0', '0'))	1
239	((5, 7), ('1', '1'))	aT
240	((6, 0), ('0', '1'))	aT
241	((6, 0), 'sink')	0
242	((6, 0), ('1', '0'))	aT
243	((6, 0), ('0', '0'))	3
244	((6, 0), ('1', '1'))	aT
245	((6, 1), ('0', '1'))	aT
246	((6, 1), 'sink')	0
247	((6, 1), ('1', '0'))	aT
248	((6, 1), ('0', '0'))	3
249	((6, 1), ('1', '1'))	aT
250	((6, 2), ('0', '1'))	aT
251	((6, 2), 'sink')	0
252	((6, 2), ('1', '0'))	aT
253	((6, 2), ('0', '0'))	3
254	((6, 2), ('1', '1'))	aT
255	((6, 3), ('0', '1'))	aT
256	((6, 3), 'sink')	0
257	((6, 3), ('1', '0'))	aT
258	((6, 3), ('0', '0'))	2
259	((6, 3), ('1', '1'))	aT
260	((6, 4), ('0', '1'))	aT
261	((6, 4), 'sink')	0
262	((6, 4), ('1', '0'))	aT
263	((6, 4), ('0', '0'))	0
264	((6, 4), ('1', '1'))	aT
265	((6, 5), ('0', '1'))	aT
266	((6, 5), 'sink')	0
267	((6, 5), ('1', '0'))	aT
268	((6, 5), ('0', '0'))	3
269	((6, 5), ('1', '1'))	aT
270	((6, 6), ('0', '1'))	aT
271	((6, 6), 'sink')	0
272	((6, 6), ('1', '0'))	aT
273	((6, 6), ('0', '0'))	3
274	((6, 6), ('1', '1'))	aT
275	((6, 7), ('0', '1'))	aT
276	((6, 7), 'sink')	0
277	((6, 7), ('1', '0'))	aT
278	((6, 7), ('0', '0'))	2
279	((6, 7), ('1', '1'))	aT
280	((7, 0), ('0', '1'))	aT
281	((7, 0), 'sink')	0
282	((7, 0), ('1', '0'))	aT
283	((7, 0), ('0', '0'))	2
284	((7, 0), ('1', '1'))	aT
285	((7, 1), ('0', '1'))	aT
286	((7, 1), 'sink')	0
287	((7, 1), ('1', '0'))	aT
288	((7, 1), ('0', '0'))	0
289	((7, 1), ('1', '1'))	aT
290	((7, 2), ('0', '1'))	aT
291	((7, 2), 'sink')	0
292	((7, 2), ('1', '0'))	aT
293	((7, 2), ('0', '0'))	0
294	((7, 2), ('1', '1'))	aT
295	((7, 3), ('0', '1'))	aT
296	((7, 3), 'sink')	0
297	((7, 3), ('1', '0'))	aT
298	((7, 3), ('0', '0'))	3
299	((7, 3), ('1', '1'))	aT
300	((7, 4), ('0', '1'))	aT
301	((7, 4), 'sink')	0
302	((7, 4), ('1', '0'))	aT
303	((7, 4), ('0', '0'))	0
304	((7, 4), ('1', '1'))	aT
305	((7, 5), ('0', '1'))	aT
306	((7, 5), 'sink')	0
307	((7, 5), ('1', '0'))	aT
308	((7, 5), ('0', '0'))	0
309	((7, 5), ('1', '1'))	aT
310	((7, 6), ('0', '1'))	aT
311	((7, 6), 'sink')	0
312	((7, 6), ('1', '0'))	aT
313	((7, 6), ('0', '0'))	3
314	((7, 6), ('1', '1'))	aT
315	((7, 7), ('0', '1'))	aT
316	((7, 7), 'sink')	0
317	((7, 7), ('1', '0'))	aT
318	((7, 7), ('0', '0'))	3
319	((7, 7), ('1', '1'))	aT
320	('sT', ('0', '1'))	aT
321	('sT', 'sink')	0
322	('sT', ('1', '0'))	aT
323	('sT', ('0', '0'))	0
324	('sT', ('1', '1'))	aT
